"id","name","slug","status","address","note","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by"
"75","General Pharmaceuticals Ltd, Unit-2","general-pharmaceuticals-ltd,-unit-2","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"76","General Pharmaceuticals Ltd.","general-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"77","Gentry Pharmaceuticals Ltd.","gentry-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"78","Genvio Pharma Ltd.","genvio-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"79","Get Well Limited","get-well-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"80","Global Capsules Ltd.","global-capsules-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"81","Global Capsules Ltd., Gelatin Division","global-capsules-ltd.,-gelatin-division","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"82","Global Heavy Chemicals Ltd.","global-heavy-chemicals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"83","Globe Pharmaceuticals Ltd.","globe-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"84","Globex Pharmaceuticals Ltd.","globex-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"85","Gonoshasthaya Basic Chemical Ltd.","gonoshasthaya-basic-chemical-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"86","Gonoshasthaya Pharmaceuticals Ltd.","gonoshasthaya-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"87","Goodman Pharmaceuticals Ltd","goodman-pharmaceuticals-ltd","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"88","Greenland Pharmaceuticals Ltd.","greenland-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"89","Guardian Healthcare Ltd.","guardian-healthcare-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"90","Healthcare Pharmaceuticals Ltd.","healthcare-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"91","Hudson Pharmaceuticals Ltd.","hudson-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"92","Ibn Sina Pharmaceutical Ind. Ltd.","ibn-sina-pharmaceutical-ind.-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"93","Incepta Pharmaceuticals Ltd.","incepta-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
